Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291340	6351947	506	256	2021-05-06	11:55:40	nan	nan	nan	66.6533	22.9941	66.5443	43.5184	0	0	22.7338	-16000	0	15.4008	218
DATA	1620291341	6351947	510	256	2021-05-06	11:55:41	nan	nan	nan	66.7512	23.0139	66.6434	43.5184	0	0	22.7555	-16000	0	15.4189	216
DATA	1620291342	6351947	514	256	2021-05-06	11:55:42	nan	nan	nan	66.8517	23.0338	66.7427	43.5184	0	0	22.7769	-16000	0	15.4377	238
DATA	1620291343	6062030	518	256	2021-05-06	11:55:43	nan	nan	nan	66.9562	23.0544	66.848	43.5184	0	0	22.7991	-16000	0	15.4412	165
DATA	1620291344	6062030	522	256	2021-05-06	11:55:44	nan	nan	nan	67.0599	23.075	66.9529	43.5184	0	0	22.8209	-16000	0	15.442	112
DATA	1620291345	6062030	526	256	2021-05-06	11:55:45	nan	nan	nan	67.166	23.0962	67.0586	43.5184	0	0	22.8431	-16000	0	15.4424	157
DATA	1620291346	6062030	530	256	2021-05-06	11:55:46	nan	nan	nan	67.273	23.1169	67.1648	43.5184	0	0	22.8652	-16000	0	15.442	106
DATA	1620291347	6062030	534	256	2021-05-06	11:55:47	nan	nan	nan	67.3791	23.1375	67.2718	43.5184	0	0	22.8872	-16000	0	15.4416	223
DATA	1620291348	6062030	538	256	2021-05-06	11:55:48	nan	nan	nan	67.4869	23.1581	67.3799	43.5184	0	0	22.9094	-16000	0	15.4408	243
DATA	1620291349	6062030	542	256	2021-05-06	11:55:49	nan	nan	nan	67.5906	23.1777	67.4832	43.5184	0	0	22.931	-16000	0	15.4416	171
DATA	1620291350	5768060	546	256	2021-05-06	11:55:50	nan	nan	nan	67.6951	23.1974	67.5886	43.5184	0	0	22.9521	-16000	0	15.4412	232
DATA	1620291351	5768060	550	256	2021-05-06	11:55:51	nan	nan	nan	67.8041	23.2178	67.698	43.5184	0	0	22.9741	-16000	0	15.4412	170
DATA	1620291352	5768060	554	256	2021-05-06	11:55:52	nan	nan	nan	67.9131	23.2384	67.8078	43.5184	0	0	22.9958	-16000	0	15.4408	239
DATA	1620291353	5768060	558	256	2021-05-06	11:55:53	nan	nan	nan	68.0246	23.2586	67.9188	43.5184	0	0	23.018	-16000	0	15.4401	175
DATA	1620291354	5768060	562	256	2021-05-06	11:55:54	nan	nan	nan	68.1373	23.2797	68.0303	43.5184	0	0	23.0399	-16000	0	15.4401	219
DATA	1620291355	5768060	566	256	2021-05-06	11:55:55	nan	nan	nan	68.2487	23.3001	68.1442	43.5184	0	0	23.0617	-16000	0	15.4389	224
DATA	1620291356	5768060	570	256	2021-05-06	11:55:56	nan	nan	nan	68.361	23.3201	68.2565	43.5184	0	0	23.0837	-16000	0	15.4389	175
DATA	1620291357	5768060	574	256	2021-05-06	11:55:57	nan	nan	nan	68.4765	23.3405	68.37	43.5184	0	0	23.1064	-16000	0	15.4385	132
DATA	1620291358	5475044	578	256	2021-05-06	11:55:58	nan	nan	nan	68.5823	23.3593	68.4761	43.5184	0	0	23.1263	-16000	0	15.4369	246
DATA	1620291359	5475044	582	256	2021-05-06	11:55:59	nan	nan	nan	68.6966	23.3795	68.5916	43.5184	0	0	23.1483	-16000	0	15.4361	255
DATA	1620291360	5475044	586	256	2021-05-06	11:56:00	nan	nan	nan	68.8125	23.3997	68.7068	43.5184	0	0	23.1699	-16000	0	15.4361	240
DATA	1620291361	5475044	590	256	2021-05-06	11:56:01	nan	nan	nan	68.9297	23.4197	68.8239	43.5184	0	0	23.1919	-16000	0	15.4349	243
DATA	1620291362	5475044	594	256	2021-05-06	11:56:02	nan	nan	nan	69.0477	23.4404	68.944	43.5184	0	0	23.2133	-16000	0	15.4346	165
DATA	1620291363	5475044	598	256	2021-05-06	11:56:03	nan	nan	nan	69.1656	23.4611	69.062	43.5184	0	0	23.2355	-16000	0	15.4342	165
DATA	1620291364	5475044	602	256	2021-05-06	11:56:04	nan	nan	nan	69.2861	23.4813	69.1824	43.5184	0	0	23.2571	-16000	0	15.4338	216
DATA	1620291365	5179882	606	256	2021-05-06	11:56:05	nan	nan	nan	69.4065	23.5013	69.3028	43.5184	0	0	23.2797	-16000	0	15.4334	228
DATA	1620291366	5179882	610	256	2021-05-06	11:56:06	nan	nan	nan	69.5221	23.5204	69.42	43.5184	0	0	23.3003	-16000	0	15.4334	100
DATA	1620291367	5179882	614	256	2021-05-06	11:56:07	nan	nan	nan	69.6388	23.5397	69.5359	43.5184	0	0	23.3212	-16000	0	15.4326	249
